"FIPS","Year","Age Range","Pop","MOE"
"09",2010,"10 to 17 years",396592,2298.1845008615
"09",2010,"10 years and over",3114906,7005.12255424557
"09",2010,"18 to 24 years",320031,2916.47835582574
"09",2010,"18 years and over",2718314,6617.40810287532
"09",2010,"Total",3545837,0
"0900104720",2010,"10 to 17 years",1894,263.747985774299
"0900104720",2010,"10 years and over",15933,858.307637155816
"0900104720",2010,"18 to 24 years",1247,208.640839722237
"0900104720",2010,"18 years and over",14039,816.779652048213
"0900104720",2010,"Total",18377,27
"0900108070",2010,"10 to 17 years",16785,777.830958499339
"0900108070",2010,"10 years and over",122239,2293.56948880996
"0900108070",2010,"18 to 24 years",17447,1028.46876471772
"0900108070",2010,"18 years and over",105454,2157.64686638013
"0900108070",2010,"Total",142576,45
"0900108980",2010,"10 to 17 years",2196,279.919631322992
"0900108980",2010,"10 years and over",14383,715.552933052475
"0900108980",2010,"18 to 24 years",1341,246
"0900108980",2010,"18 years and over",12187,658.529422273599
"0900108980",2010,"Total",16214,25
"0900118500",2010,"10 to 17 years",7009,602.665744837053
"0900118500",2010,"10 years and over",68929,1771.69692667792
"0900118500",2010,"18 to 24 years",7546,663.795149123583
"0900118500",2010,"18 years and over",61920,1666.044417175
"0900118500",2010,"Total",79371,40
"0900118850",2010,"10 to 17 years",3628,319.778048027065
"0900118850",2010,"10 years and over",16594,658.006838870235
"0900118850",2010,"18 to 24 years",668,148.266651678656
"0900118850",2010,"18 years and over",12966,575.078255544409
"0900118850",2010,"Total",20414,37
"0900123890",2010,"10 to 17 years",1146,194.532773588411
"0900123890",2010,"10 years and over",6322,412.430600222631
"0900123890",2010,"18 to 24 years",404,99.5540054442814
"0900123890",2010,"18 years and over",5176,363.670180245783
"0900123890",2010,"Total",7403,23
"0900126620",2010,"10 to 17 years",6689,483.580396625008
"0900126620",2010,"10 years and over",50753,1354.24222353315
"0900126620",2010,"18 to 24 years",8015,782.592486547117
"0900126620",2010,"18 years and over",44064,1264.95928788242
"0900126620",2010,"Total",58727,41
"0900133620",2010,"10 to 17 years",8185,509.872533090379
"0900133620",2010,"10 years and over",52324,1304.04831198848
"0900133620",2010,"18 to 24 years",2545,338.187817639843
"0900133620",2010,"18 years and over",44139,1200.23830967021
"0900133620",2010,"Total",60809,61
"0900148620",2010,"10 to 17 years",2635,306.677354886206
"0900148620",2010,"10 years and over",16761,809.0803421169
"0900148620",2010,"18 to 24 years",995,222.081066279861
"0900148620",2010,"18 years and over",14126,748.705549598773
"0900148620",2010,"Total",19316,29
"0900150580",2010,"10 to 17 years",3379,373.285413591263
"0900150580",2010,"10 years and over",16515,768.712560063903
"0900150580",2010,"18 to 24 years",587,143.516549568334
"0900150580",2010,"18 years and over",13136,671.994791646483
"0900150580",2010,"Total",19564,36
"0900150860",2010,"10 to 17 years",1956,254.911749434976
"0900150860",2010,"10 years and over",11911,591.187787424605
"0900150860",2010,"18 to 24 years",841,164.590400692142
"0900150860",2010,"18 years and over",9955,533.406974082642
"0900150860",2010,"Total",13800,30
"0900152980",2010,"10 to 17 years",4178,315.800569980486
"0900152980",2010,"10 years and over",23696,791.327365885953
"0900152980",2010,"18 to 24 years",1817,246.767096672146
"0900152980",2010,"18 years and over",19518,725.581835494798
"0900152980",2010,"Total",26957,35
"0900156060",2010,"10 to 17 years",7661,608.185826865441
"0900156060",2010,"10 years and over",74330,1749.35302326317
"0900156060",2010,"18 to 24 years",5467,509.83919033358
"0900156060",2010,"18 years and over",66669,1640.22742325569
"0900156060",2010,"Total",84611,43
"0900163480",2010,"10 to 17 years",1221,188.260457876847
"0900163480",2010,"10 years and over",7801,513.268935354557
"0900163480",2010,"18 to 24 years",434,175.76120163449
"0900163480",2010,"18 years and over",6580,477.496596846512
"0900163480",2010,"Total",8945,22
"0900163970",2010,"10 to 17 years",3940,344.891287219611
"0900163970",2010,"10 years and over",20840,753.033863780375
